key_base64	source_base64	official_english_base64	translation_base64
cGFyc29uLTE=	5LiA5Lq6	T25lIFBlcnNvbg==	7ZWcIOuqhQ==
cGFyc29uLTI=	5LqM5Lq6	VHdvIFBlb3BsZQ==	65GQIOuqhQ==
cGFyc29uLTM=	5LiJ5Lq6	VGhlIHRocmVlIGdpcmxzJyBvciAnRWxhcmEsIFpvZSwgYW5kIEthdHJpbmEn	7IS4IOuqhQ==
cGFyc29uLTQ=	5Zub5Lq6	Rm91ciBQZW9wbGU=	64SkIOuqhQ==
cGFyc29uLTU=	5LqU5Lq6	Rml2ZSBQZW9wbGU=	64uk7ISvIOuqhQ==
c2xlZXBpbmVzcw==	5oSP6K2Y	Vmlnb3I=	7J2Y7Iud
aGFwcGluZXNz	5bm456aP	U2F0aXNmYWN0aW9u	7ZaJ67O1
ZmVhcmZ1bG5lc3M=	5oGQ5oCW	RmVhcg==	6rO17Y+s
c2FkbmVzcw==	5oKy5ZOA	U2FkbmVzcw==	67mE7JWg
Z29sZC1rZXk=	6YeR44Gu6Y21	R29sZGVuIEtleQ==	6riIIOyXtOyHoA==
c2lsdmVyLWtleQ==	6YqA44Gu6Y21	U2lsdmVyIEtleQ==	7J2AIOyXtOyHoA==
YnJvbnplLWtleQ==	6YqF44Gu6Y21	QnJvbnplIEtleQ==	64+ZIOyXtOyHoA==
Ymx1ZS1rZXk=	6Z2S44Gu6Y21	Qmx1ZSBLZXk=	7YyM656AIOyXtOyHoA==
eWVsbG93LWtleQ==	6buE6Imy44Gu6Y21	WWVsbG93IEtleQ==	64W4656AIOyXtOyHoA==
cmVkLWtleQ==	6LWk44Gu6Y21	UmVkIEtleQ==	67mo6rCEIOyXtOyHoA==
Z3JlZW4ta2V5	57eR44Gu6Y21	R3JlZW4gS2V5	7LSI66GdIOyXtOyHoA==
YmxhY2sta2V5	6buS44Gu6Y21	QmxhY2sgS2V5	6rKA7J2AIOyXtOyHoA==
d2hpbHRlLWtleQ==	55m944Gu6Y21	V2hpdGUgS2V5	7Z2wIOyXtOyHoA==
bWVtb3J5LWtleQ==	6KiY5oa244Gu6Y21	TWVtb3J5IEtleQ==	6riw7Ja17J2YIOyXtOyHoA==
bGV2ZWwtZ3JlZW5ob3VzZQ==	5qSN54mp5ZyS	R3JlZW5ob3VzZQ==	7Iud66y87JuQ
bGV2ZWwtY2xhc3Nyb29t	5pWZ5a6k	Q2xhc3Nyb29t	6rWQ7Iuk
bGV2ZWwtd2VzdGVybg==	5rSL5a6k	T2xkLWZhc2hpb25lZCBSb29t	7ISc7JaR7IudIOuwqQ==
bGV2ZWwtbGF1bmRyeQ==	44Kz44Kk44Oz44Op44Oz44OJ44Oq44O8	Q29pbiBMYXVuZHJ5	7L2U7J24IOyEuO2DgeuwqQ==
bGV2ZWwta2lkc3Jvb20=	5a2Q5L6b6YOo5bGL	Q2hpbGRyZW4ncyBSb29t	7JWE7J20IOuwqQ==
bGV2ZWwtdHJhaW4=	6Zu76LuK	VHJhaW4=	7KCE7LKg
bGV2ZWwtY2FmZQ==	5Zar6Iy25bqX	Q2Fmw6k=	7LC77KeR
bGV2ZWwtbXVzZXVt	5Y2a54mp6aSo	TXVzZXVt	67CV66y86rSA
bGV2ZWwtY29uZmVyZW5jZXJvb20=	5Lya6K2w5a6k	Q291bmNpbCBSb29t	7ZqM7J2Y7Iuk
bGV2ZWwtYXBhcnRtZW50LWNvcnJpZG9y	5buK5LiL	SGFsbHdheQ==	67O164+E
bGV2ZWwtYXBhcnRtZW50LXJvb20=	5pu45paO	U3R1ZHk=	7ISc7J6s
bGV2ZWwtaG9zcGl0YWw=	55eF6Zmi	SG9zcGl0YWw=	67OR7JuQ
bGV2ZWwtc3BhY2VzaGlwLWhhbGw=	44Kz44O844Or44OJ44K544Oq44O844OX5a6k	Q3J5b3NsZWVwIEhhbGw=	64OJ64+ZIOyImOuptOyLpA==
bGV2ZWwtc3BhY2VzaGlwLWNvcnJpZG9y	6YCa6Lev44Oi44K444Ol44O844Or	Q29ycmlkb3IgTW9kdWxl	7Ya166GcIOuqqOuTiA==
bGV2ZWwtc3BhY2VzaGlwLWJyaWRnZQ==	5pON57im5a6k	U2hpcCBCcmlkZ2U=	7KGw7KKF7Iuk
aXRlbS1oZWxtZXQ=	44OY44Or44Oh44OD44OI	SGVsbWV0	7Zes66mn
aXRlbS1ib29r	44OP44O844OJ44Kr44OQ44O844Gu5pys	SGFyZGNvdmVyIEJvb2s=	7JaR7J6l67O4
aXRlbS1zZWVk	5qSN54mp44Gu56iu	UGxhbnQgc2VlZHM=	7Iud66y8IOyUqOyVlw==
aXRlbS1zeXJpbmdl	5rOo5bCE5Zmo	U3lyaW5nZQ==	7KO87IKs6riw
aXRlbS13YXRjaA==	6IWV5pmC6KiI	V3Jpc3R3YXRjaA==	7IaQ66qp7Iuc6rOE
aXRlbS1kb2xs	5Lq65b2i	RG9sbA==	7J247ZiV
aXRlbS1jb2ZmZWU=	44Kz44O844OS44O8	Q29mZmVl	7Luk7ZS8
aXRlbS1tYXNr	44Ks44K544Oe44K544Kv	UmVzcGlyYXRvcg==	67Cp64+F66m0
aXRlbS1hdWRpbw==	44Os44Kz44O844OA44O8	UmVjb3JkZXI=	64W57J2M6riw
aXRlbS1waXN0b2w=	5ouz6YqD	R3Vu	6raM7LSd
aXRlbS1jb21wdXR1cmU=	5bCP5Z6L56uv5pyr	VHJhbnNtaXNzaW9uIERldmljZQ==	7IaM7ZiVIOuLqOunkOq4sA==
aXRlbS1zaG92ZWw=	44K344Oj44OZ44Or	U2hvdmVs	7IK9
aXRlbS10b29sYm94	5bel5YW3566x	VG9vbGJveA==	6rO16rWs7ZWo
aXRlbS1jYW1lcmE=	44Kr44Oh44Op	Q2FtZXJh	7Lm066mU6528
aXRlbS1pZGNhcmQ=	SUTjgqvjg7zjg4k=	SS5ELiBDYXJk	SUQg7Lm065Oc
dG9rZW4tZG9udXQ=	44OJ44O844OK44OE	RG9udXQ=	64+E64Sb
dG9rZW4tY2xlYW5lcg==	5riF5o6D44Ot44Oc44OD44OI	Q2xlYW5pbmcgUm9ib3Q=	7LKt7IaMIOuhnOu0hw==
dG9rZW4tZWF0	6aOf5LqL	Rm9vZA==	7Iud7IKs
dG9rZW4tYm9keQ==	6IKJ5L2T	Qm9kaWVz	7Jyh7LK0
dG9rZW4tZWFydGg=	5Zyw55CD	RWFydGg=	7KeA6rWs
dG9rZW4tc2VwYXJhdGlvbg==	6Zui5Yil	U2VwYXJhdGlvbg==	7J2067OE
dG9rZW4tY3VsdHVyZQ==	5paH5YyW	Q3VsdHVyZQ==	66y47ZmU
dG9rZW4tY2hhbmdl	5aSJ5YyW	Q2hhbmdl	67OA7ZmU
dG9rZW4tZnJpZW5k	5Y+L6YGU	RnJpZW5kcw==	7Lmc6rWs
dG9rZW4tc2Nob29s	5a2m5qCh	U2Nob29s	7ZWZ6rWQ
dG9rZW4tYmFjdGVyaWE=	57Sw6I+M	QmFjdGVyaWE=	7IS46reg
dG9rZW4tdmFjY2luZQ==	44Ov44Kv44OB44Oz	VmFjY2luZXM=	67Cx7Iug
dG9rZW4tY2x1c3Rlcg==	44Kv44Op44K544K/44O8	Q2x1c3Rlcg==	7YG065+s7Iqk7YSw
dG9rZW4tc3Vic3BhY2U=	5Lqc56m66ZaT	RGltZW5zaW9uYWwgUG9ja2V0	7JWE6rO16rCE
dG9rZW4tZGlzY29yZA==	5LiN5ZKM	RGlzY29yZA==	67aI7ZmU
dG9rZW4tZ3JhbmRtb3RoZXI=	56WW5q+N	R3JhbmRtb3RoZXI=	7ZWg66i464uI
dG9rZW4tcmVzb3VyY2U=	6LOH5rqQ	UmVzb3VyY2Vz	7J6Q7JuQ
dG9rZW4tZGVuc2l0eQ==	5a+G5bqm	RGVuc2l0eQ==	67CA64+E
dG9rZW4tZ2FyZGVuaW5n	5ZyS6Iq4	R2FyZGVuaW5n	7JuQ7JiI
dG9rZW4tcmVzcG9uc2liaWxpdHk=	6LKs5Lu7	UmVzcG9uc2liaWxpdHk=	7LGF7J6E
dG9rZW4tY29sZC1zbGVlcA==	5Ya35YeN552h55yg	Q3J5b3NsZWVw	64OJ64+ZIOyImOuptA==
dG9rZW4tdGVycm9yaXN0	44OG44Ot44Oq44K544OI	VGVycm9yaXN0	7YWM65+s66as7Iqk7Yq4
dG9rZW4tY3JvY2s=	5buD5Lq6	RHJvbmVz	7Y+Q7J24
dG9rZW4tYmxvb2Q=	6KGA	Qmxvb2Q=	7ZS8
dG9rZW4taG9zcGl0YWw=	55eF6Zmi	SG9zcGl0YWw=	67OR7JuQ
dG9rZW4tbGlnaHQ=	5YWJ	TGlnaHQ=	67mb
dG9rZW4tcG9sbHV0aW9u	5rGa5p+T	UG9sbHV0aW9u	7Jik7Je8
dG9rZW4tam9i	5LuV5LqL	V29yaw==	7J28
dG9rZW4ta2F5YQ==	44Kr44Ok	S2F5YQ==	7Lm07JW8
dG9rZW4tYWdpbmc=	6ICB5py95YyW	RGV0ZXJpb3JhdGU=	64W47ZuE7ZmU
dG9rZW4tZG9tZQ==	44OJ44O844Og	RG9tZQ==	64+U
dG9rZW4tZGVhdGg=	5q27	RGVhdGg=	7KO97J2M
dG9rZW4tdHJhbnNsYXRpb24=	57+76Kiz	VHJhbnNsYXRpb24=	67KI7Jet
dG9rZW4ta3VzaGFuYQ==	44Kv44K344Oj44OK	S3VzaGFuYQ==	7L+g7IOk64KY
dG9rZW4tbWluaXN0cnk=	5pif5bqB	UGxhbmV0YXJ5IFBhbGFjZQ==	7ISx7LKt
dG9rZW4ta2lzcw==	5Y+j44Gl44GR	S2lzcw==	7J6F66ee7Lak
dG9rZW4tcGxhbnQ=	5qSN54mp	UGxhbnQgc2VlZHM=	7Iud66y8
dG9rZW4tYWRhcHRhdGlvbg==	6YGp5b+c5Yem572u	QWRhcHRhdGlvbiBQcm9jZWR1cmU=	7KCB7J2RIOyymOy5mA==
dG9rZW4tbWFzaw==	44Oe44K544Kv	TWFzaw==	66eI7Iqk7YGs
dG9rZW4tc3lyaW5nZQ==	5rOo5bCE5Zmo	U3lyaW5nZQ==	7KO87IKs6riw
dG9rZW4tZGlzZ3VzdA==	5auM5oKq	SGF0ZQ==	7ZiQ7Jik
dG9rZW4tcGhvdG8=	5YaZ55yf	UGhvdG9ncmFwaA==	7IKs7KeE
dG9rZW4tZmFjZQ==	6aGU	RmFjZQ==	7Ja86rW0
dG9rZW4taW1taWdyYXRpb24=	56e75rCR	SW1taWdyYW50	7J2066+87J6Q
dG9rZW4tZW1pZ3JhdGlvbg==	56e75L2P	TW92ZSBpbg==	7J207KO8
dG9rZW4tZnVuZXJhbA==	6JGs5YSA	RnVuZXJhbA==	7J6l66GA7Iud
dG9rZW4tbGlmZXNwYW4=	5a+/5ZG9	TGlmZSBFeHBlY3RhbmN5	7IiY66qF
dG9rZW4tZWFy	6ICz	RWFycw==	6reA
dG9rZW4tc3VyZ2VyeQ==	5omL6KGT	U3VyZ2VyeQ==	7IiY7Iig
dG9rZW4ta2lsbGluZy10aW1l	5pqH44Gk44G244GX	S2lsbGluZyB0aW1l	7Iuc6rCEIOuVjOyasOq4sA==
dG9rZW4tY2hpbGQ=	5a2Q5L6b	QmFieQ==	7JWE7J20
dG9rZW4taWRjYXJk	SUTjgqvjg7zjg4k=	SS5ELiBDYXJk	SUQg7Lm065Oc
dG9rZW4taG9tZXRvd24=	5pWF6YO3	TmF0aXZlIExhbmQ=	6rOg7Zal
dG9rZW4tc3Rhcg==	5pif	UGxhbmV0	7ZaJ7ISx
dG9rZW4tZ292ZXJuYW5jZQ==	57Wx5rK75qmf5qeL	QWRtaW5pc3RyYXRpb24=	7Ya17LmYIOq4sOq1rA==
dG9rZW4tY29uZmxpY3Q=	57Sb5LqJ	U3RyaWZl	67aE7J+B
dG9rZW4tc2lnaHQ=	6KaW57ea	R2F6ZQ==	7Iuc7ISg
dG9rZW4taXZhbg==	44Kk44O044Kh44Oz	SXZhbg==	7J2067CY
dG9rZW4tdGVycmFmb3JtaW5n	5Zyw55CD5YyW	VGVycmFmb3JtaW5n	7YWM65287Y+s67CN
dG9rZW4taGFuZA==	5omL	SGFuZA==	7IaQ
dG9rZW4tZmxvd2Vy	6Iqx55WR	RmllbGRz	6r2D67Ct
dG9rZW4tY291bnRyeXNpZGU=	55Sw6IiO	Q291bnRyeXNpZGU=	7Iuc6rOo
dG9rZW4tY29mZmVl	44Kz44O844OS44O8	Q29mZmVl	7Luk7ZS8
dG9rZW4td2VhcG9ucw==	5YW15Zmo	V2VhcG9ucw==	67OR6riw
dG9rZW4tY29va2luZw==	5paZ55CG	TWVhbA==	7JqU66as
dG9rZW4tYmlydGhkYXk=	6KqV55Sf5pel	QmlydGhkYXk=	7IOd7J28
dG9rZW4tbG92ZQ==	5oSb	TG92ZQ==	7IKs656R
dG9rZW4tcGxhY2U=	54m55Yil44Gq5aC05omA	U3BlY2lhbCBQbGFjZQ==	7Yq567OE7ZWcIOyepeyGjA==
dG9rZW4tYXJ0aWZpY2lhbA==	576p55y8	UHJvc3RoZXRpYyBFeWU=	7J2Y7JWI
dG9rZW4tdHJhaW4=	6Zu76LuK	VHJhaW4=	7KCE7LKg
dG9rZW4tdGVycm9yaXNt	44OG44Ot	VGVycm9yaXN0	7YWM65+s
dG9rZW4tc3BhY2Vwb3J0	5a6H5a6Z5riv	U3BhY2UgUG9ydA==	7Jqw7KO87ZWt
dG9rZW4tY2FwaXRhbA==	6aaW6YO9	Q2FwaXRhbA==	7IiY64+E
dG9rZW4tdGlja2V0	44OB44Kx44OD44OI	VGlja2V0	7Yuw7LyT
dG9rZW4tcHJlZ25hbmN5	5aaK5aig	UHJlZ25hbnQ=	7J6E7Iug
dG9rZW4tZmF0aGVy	54i26Kaq	RmF0aGVy	7JWE67KE7KeA
dG9rZW4tdGVybWluYWw=	57WC552A54K5	TGFzdCBTdG9w	7KKF7LCp7KCQ
dG9rZW4tZmFyZQ==	6YGL6LOD	RmFyZQ==	7Jq07J6E
dG9rZW4tY29sbGlzaW9u	5q2m5Yqb6KGd56qB	QXJtZWQgQ29uZmxpY3Q=	66y066ClIOy2qeuPjA==
dG9rZW4tbWlzc2lvbg==	5Lu75YuZ	TWlzc2lvbg==	7J6E66y0
dG9rZW4tc3B5	6Kuc5aCx5ZOh	U3B5	7KCV67O07JuQ
dG9rZW4tY2hlc2Nh	44OB44Kn44K544Kr	Q2hlc2Nh	7LK07Iqk7Lm0
dG9rZW4tbW90aGVy	5q+N6Kaq	TW90aGVy	7Ja066i464uI
dG9rZW4tc3BvdXNl	6YWN5YG26ICF	U3BvdXNl	67Cw7Jqw7J6Q
dG9rZW4tc21pbGU=	56yR6aGU	U21pbGU=	66+47IaM
dG9rZW4tc3R1ZHk=	5YuJ5by3	U3R1ZHlpbmc=	6rO167aA
dG9rZW4tZnV0dXJl	5pyq5p2l	RnV0dXJl	66+4656Y
dG9rZW4tYmV0cmF5YWw=	5a+G5ZGK	UmVwb3J0	67CA6rOg
dG9rZW4tdHJhbnF1aWxpdHk=	5a6J5a+n	VHJhbnF1aWxpdHk=	7JWI64WV
dG9rZW4tcG90	6Ymi5qSN44GI	UG90dGluZw==	7ZmU67aE
dG9rZW4tYW11c2VtZW50LXBhcms=	6YGK5ZyS5Zyw	VGhlbWUgUGFyaw==	64aA7J206rO17JuQ
dG9rZW4tY2hpbWU=	44OB44Oj44Kk44Og	RG9vcmJlbGw=	7LSI7J247KKF
dG9rZW4tY3J5cHRvZ3JhcGh5	5pqX5Y+3	RW5jcnlwdGVk	7JWU7Zi4
dG9rZW4taHVtaWxpYXRpb24=	5bGI6L6x	SHVtaWxpYXRpb24=	6rW07JqV
dG9rZW4tcmFpbg==	6Zuo	UmFpbg==	67mE
dG9rZW4tdGFpbGluZw==	5bC+6KGM	VGFpbGluZw==	66+47ZaJ
dG9rZW4tZmlyZQ==	54KO	RmlyZQ==	67aI6ri4
dG9rZW4tZmlyaW5n	55m656Cy	R3Vuc2hvdA==	67Cc7Y+s
dG9rZW4tbmlnaHRtYXJl	5oKq5aSi	TmlnaHRtYXJl	7JWF66q9
dG9rZW4tbGlmZQ==	5ZG9	TGlmZQ==	66qp7Iio
dG9rZW4tcHVuaXNobWVudA==	572w	UHVuaXNobWVudA==	67KM
dG9rZW4ta2V5	6Y21	S2V5	7Je07Ieg
dG9rZW4tdHJlYXRtZW50	5rK755mC	VGhlcmFweQ==	7LmY66OM
dG9rZW4tZmFrZQ==	5YG954mp	Q291bnRlcmZlaXQ=	6rCA7Kec
dG9rZW4tc3BhY2VzaGlw	5a6H5a6Z6Ii5	U3BhY2VzaGlw	7Jqw7KO87ISg
dG9rZW4tZmFpbHVyZQ==	5pWF6Zqc	RmFpbHVyZQ==	6rOg7J6l
dG9rZW4tbmVyaXNzYQ==	44ON44Oq44OD44K1	TmVyaXNzYQ==	64Sk66as7IKs
dG9rZW4tc2FkbmVzcw==	5oaC44GE	U2FkbmVzcw==	6re87Ius
dG9rZW4tZGlzY29udGludWF0aW9u	5pat57W2	R2Fw	64uo7KCI
dG9rZW4tc3BhY2U=	5a6H5a6Z	U3BhY2U=	7Jqw7KO8
dG9rZW4tb2xkd29tYW4=	6ICB5amG	T2xkIFdvbWFu	64W47YyM
dG9rZW4tY29ja3BpdA==	44Kz44OD44Kv44OU44OD44OI	Q29ja3BpdA==	7KGw7KKF7ISd
dG9rZW4tZGVzdGluYXRpb24=	55uu55qE5Zyw	RGVzdGluYXRpb24=	66qp7KCB7KeA
dG9rZW4td2FzaGluZw==	5rSX5r+v	TGF1bmRyeQ==	7IS47YOB
dG9rZW4tcHJvbWlzZQ==	57SE5p2f	UHJvbWlzZQ==	7JW97IaN
dG9rZW4tZGlzZWFzZQ==	55eF	SWxsbmVzcw==	67OR
dG9rZW4tcGVyc29uYWw=	56eB5oOF	UGVyc29uYWwgTWF0dGVycw==	7IKs7KCB7J24IOqwkOyglQ==
dG9rZW4tb21uaWJ1cw==	5LmX44KK5ZCI44GE44OQ44K5	U2hhcmVkIEJ1cw==	7ZWp7Iq5IOuyhOyKpA==
dG9rZW4tc2F0ZWxsaXRl	6Z2Z5q2i6KGb5pif	U2F0ZWxsaXRl	7KCV7KeAIOychOyEsQ==
dG9rZW4tbGlnaHRzcGVlZA==	5YWJ44Gu6YCf44GV	U3BlZWQgb2YgTGlnaHQ=	67mb7J2YIOyGjeuPhA==
dG9rZW4tc2FmZXR5	5a6J5YWo6KOF572u	U2FmZXR5IE1lY2hhbmlzbQ==	7JWI7KCE7J6l7LmY
dG9rZW4tZHJlYW0=	5aSi	RHJlYW0=	6r+I
dG9rZW4tc3BlY2llcw==	56iu5peP	UmFjZQ==	7KKF7KGx
dG9rZW4tbWVtb3J5	6KiY5oa2	TWVtb3J5	6riw7Ja1
dG9rZW4tYWNjaWRlbnQ=	5LqL5pWF	QWNjaWRlbnQ=	7IKs6rOg
dG9rZW4ta2VlcG91dA==	56uL44Gh5YWl44KK56aB5q2i	Rm9yYmlkZGVu	7Lac7J6FIOq4iOyngA==
dG9rZW4tbXV0dGVyaW5n	5LiW6L+36KiA	Tm9uc2Vuc2U=	7Zeb7IaM66as
dG9rZW4tZmFrZS1tZW1vcnk=	5YG944Gu6KiY5oa2	RmFrZSBNZW1vcmllcw==	6rCA7KecIOq4sOyWtQ==
dG9rZW4taW52ZXN0aWdhdG9y	5o2c5p+75a6Y	SW52ZXN0aWdhdG9y	7IiY7IKs6rSA
dG9rZW4tYnJhaW4=	6ISz	QnJhaW4=	64eM
dGlsZS1saXN0	5omA5oyB5Zug5a2Q	RmlnbWVudHMgT3duZWQ=	67O07JygIOyduOyekA==
dGlsZS1ob3VzZQ==	5Zug5a2Q44K544OI44Os44O844K4	RmlnbWVudCBTdG9yYWdl	7J247J6QIOuztOq0gO2VqA==
dGlsZS1sb2NrZWQ=	77yI5Zug5a2Q44K544OI44Os44O844K444Gr56e744GZ44GT44Go44GM44Gn44GN44G+44Gb44KT77yJ	KENhbm5vdCBiZSBwdXQgaW50byBGaWdtZW50IFN0b3JhZ2Up	KOyduOyekCDrs7TqtIDtlajsnLzroZwg7Jiu6ri4IOyImCDsl4bsirXri4jri6Qp
dGlsZS1uYW1l	5Zug5a2Q44CMezB944CN	RmlnbWVudCAiezB9Ig==	7J247J6QIOOAjHswfeOAjQ==
dGlsZS1kZXNjcmlwdGlvbg==	5omJ44KS6ZaL44GP6Zqb44CB5Zug5a2Q44GMMeOBpOaKvemBuOOBleOCjOOAgeWKueaenOOBjOeZuuWLleOBl+OBvuOBmeOAgg==	V2hlbiB5b3Ugb3BlbiBhIGRvb3IsIGEgRmlnbWVudCBpcyByYW5kb21seSBzZWxlY3RlZCBhbmQgaXRzIGVmZmVjdHMgYWN0aXZhdGVkLg==	66y47J2EIOyXtCDrlYwg67O07Jyg7ZWcIOyduOyekCDspJEg7ZWY64KY6rCAIOustOyekeychOuhnCDshKDtg53rkJjslrQg7Zqo6rO86rCAIOuwnOuPme2VqeuLiOuLpC4=
dGlsZS1lbXB0eQ==	5Yq55p6c44Gq44GX	Tm8gZWZmZWN0	7Zqo6rO8IOyXhuydjA==
dGlsZS1sZXZlbA==	44CMezB944CN44Gr5o6l57aa	Q29ubmVjdHMgdG8gInswfSI=	44CMezB944CN7JeQIOyXsOqysA==
dGlsZS1pdGVt	44CMezB944CN44GM5Ye654++	InswfSIgYXBwZWFycw==	44CMezB944CNIOy2nO2YhA==
dGlsZS1zbGVlcGluZXNz	5oSP6K2YIHswfQ==	Vmlnb3IgezB9	7J2Y7IudIHswfQ==
dGlsZS1rZXk=	44CMezB944CN44KS5YWl5omL	T2J0YWluICJ7MH0i	44CMezB944CNIO2ajeuTnQ==
dGlsZS1pbnZlbnRvcnktY2FwYWNpdHk=	44Ki44Kk44OG44Og5omA5oyB5LiK6ZmQICt7MH0=	SW52ZW50b3J5IFNpemUgKyB7MH0=	7JWE7J207YWcIOyGjOyngCDtlZzrj4QgK3swfQ==
dGlsZS1tZW1vcnktaXRlbQ==	6KiY5oa26Zai5L+C44Ki44Kk44OG44Og6ZaL56S6	UmV2ZWFsIE1lbW9yeSBJdGVt	6riw7Ja1IOq0gOugqCDslYTsnbTthZwg6rO16rCc
dGlsZS1tZW1vcnktaXRlbS1kZXNjcmlwdGlvbg==	6KiY5oa244K544Od44OD44OI44Gr6Zai5L+C44GZ44KL44Ki44Kk44OG44Og44KS6ZaL56S644GX44G+44GZ	UmV2ZWFscyBhbiBpdGVtIHJlbGF0ZWQgdG8gYSBtZW1vcnktd2F0Y2hpbmcgc3BvdC4=	6riw7Ja1IOyKpO2Pv+qzvCDqtIDroKjrkJwg7JWE7J207YWc7J2EIOqzteqwnO2VqeuLiOuLpA==
dGlsZS11bmxvY2s=	6ZaL6Yyg	VW5sb2Nr	7J6g6riIIO2VtOygnA==
dGlsZS11bmxvY2stZGVzY3JpcHRpb24=	44GZ44G544Gm44Gu6YOo5bGL44Gu6Y2144KS6ZaL6Yyg44GX44G+44GZ	VW5sb2NrcyBhbGwgb2YgdGhlIGRvb3JzLg==	66qo65OgIOuwqeydmCDsnqDquIjsnYQg7ZW07KCc7ZWp64uI64uk
dGFiLXRpbGU=	5Zug5a2Q	RmlnbWVudHM=	7J247J6Q
dGFiLXRva2Vu	44Kt44O844Ov44O844OJ	S2V5d29yZHM=	7YKk7JuM65Oc
dGFiLWNoYXJhY3Rlcg==	5Lq654mp	UGVvcGxl	7J2466y8
dGFiLW1lbW9yeQ==	6KiY5oa244Gu5pat54mH	TWVtb3J5IEZyYWdtZW50cw==	6riw7Ja17J2YIOyhsOqwgQ==
dGFiLWl0ZW0=	44Ki44Kk44OG44Og	SXRlbXM=	7JWE7J207YWc
dGFiLW9wdGlvbg==	44Kq44OX44K344On44Oz	U2V0dGluZ3M=	7Ji17IWY
aW52ZW50b3J5LWZ1bGw=	44GT44KM5Lul5LiK5oyB44Gm44Gq44GE	WW91IGNhbid0IGJyaW5nIGFueSBtb3JlIHdpdGggeW91Lg==	642UIOydtOyDgSDrk6Qg7IiYIOyXhuyKteuLiOuLpA==
aW52ZW50b3J5LWVtcHR5	WyDnqbrmrIQgXQ==	WyBFTVBUWSBd	WyDruYjsubggXQ==
aW52ZW50b3J5LXNsZWVw	5LiA5pel44KS57WC44GI44KL	RW5kIERheQ==	7ZWY66OoIOuBneuCtOq4sA==
aW52ZW50b3J5LXRpbGU=	5omA5oyB5Zug5a2Q5LiA6Kan	RmlnbWVudCBMaXN0	67O07JygIOyduOyekCDrqqnroZ0=
aW52ZW50b3J5LXRleHRsb2c=	44OG44Kt44K544OI44Ot44Kw	VGV4dCBIaXN0b3J5	7YWN7Iqk7Yq4IOuhnOq3uA==
aW52ZW50b3J5LXRyYXNo	5o2o44Gm44KL	VGhyb3cgQXdheQ==	67KE66as6riw
YWNjZXNzLWZpbmQ=	ezB9IOOCkuaLvuOBhg==	UGljayB1cCAiezB9Ig==	ezB9IOykjeq4sA==
YWNjZXNzLXB1dA==	ezB9IOOCkue9ruOBjw==	UHV0ICJ7MH0iIGRvd24=	ezB9IOuCtOugpOuGk+q4sA==
YWNjZXNzLXRhbGs=	6Kmx44GZ	VGFsaw==	66eQ7ZWY6riw
YWNjZXNzLXRhbGstcHJvZ3Jlc3M=	6Kmx44GZIC0g44K544OI44O844Oq44O86YCy6KGM	VGFsayAtIEFkdmFuY2UgU3Rvcnk=	66eQ7ZWY6riwIC0g7Iqk7Yag66asIOynhO2WiQ==
YWNjZXNzLXJlbWVtYmVy	6KiY5oa244KS5YaN55Sf	UGxheSBNZW1vcnk=	6riw7Ja1IOyerOyDnQ==
